src	nonempty_timebin_scans
0	0.8013
1	0.6455
2	0.5150
3	0.8149
4	0.4490
5	0.6379
6	0.6830
7	0.9329
8	0.8311
9	0.9459
10	0.6864
11	0.5558
12	0.6901
13	0.7940
14	0.7462
15	0.6796
16	0.2977
17	0.8915
18	0.6090
19	0.9214
20	0.3335
21	0.8947
22	0.4704
23	0.4613
24	0.9567
25	0.8757
26	0.6607
27	0.8284
28	0.2072
29	0.7512
30	0.8650
31	0.6148
32	0.7634
33	0.6706
34	0.7431
35	0.9000
36	0.4699
37	0.8619
38	0.6684
39	0.5474
40	0.8506
41	0.5657
42	0.9087
43	0.8637
44	0.5188
45	0.7981
46	0.8268
47	0.3571
48	0.5969
49	0.7744
50	0.7189
51	0.6288
52	0.6066
53	0.8982
54	0.4981
55	0.4602
56	0.4790
57	0.8031
58	0.5791
59	0.3910
60	0.6125
61	0.8976
62	0.7199
63	0.5618
64	0.2133
65	0.8021
66	0.6672
67	0.6921
68	0.5471
69	0.6729
70	0.8219
71	0.8533
72	0.7047
73	0.4716
74	0.6442
75	0.6518
76	0.5756
77	0.6626
78	0.7220
79	0.5864
80	0.6792
81	0.8290
82	0.7447
83	0.2254
84	0.7542
85	0.6685
86	0.8578
87	0.8751
88	0.8404
89	0.6553
90	0.6476
91	0.8932
92	0.8920
93	0.4969
94	0.3259
95	0.8026
96	0.7928
97	0.5202
98	0.6801
99	0.9063
100	0.5275
101	0.6966
102	0.8248
103	0.6715
104	0.5181
105	0.9056
106	0.8734
107	0.7682
108	0.5936
109	0.6028
110	0.9457
111	0.8535
112	0.8697
113	0.4583
114	0.5378
115	0.6016
116	0.7877
117	0.6657
118	0.3480
119	0.4740
120	0.6492
121	0.8650
122	0.6659
123	0.5634
124	0.5202
125	0.7386
126	0.8806
127	0.9319
128	0.5413
129	0.7506
130	0.6457
131	0.2612
132	0.8526
133	0.6911
135	0.9487
136	0.7179
137	0.9084
138	0.7970
139	0.6732
140	0.9148
141	0.8667
143	0.4901
144	0.5722
145	0.5472
146	0.6407
147	0.4859
148	0.7770
149	0.8275
150	0.9187
151	0.9513
152	0.6694
153	0.6333
154	0.8797
155	0.8938
156	0.5485
157	0.7519
158	0.8736
159	0.7402
160	0.7980
161	0.7933
163	0.7283
164	0.6908
165	0.5120
166	0.6203
167	0.8984
168	0.0561
169	0.5441
170	0.8228
171	0.7056
172	0.9189
173	0.6305
174	0.8234
175	0.8521
176	0.7401
177	0.9709
178	0.6963
179	0.7636
180	0.5098
181	0.8342
182	0.6656
183	0.9156
184	0.3940
185	0.7933
186	0.7950
187	0.8549
188	0.4618
189	0.6987
190	0.6713
191	0.7299
192	0.7586
193	0.4653
194	0.7045
195	0.9406
196	0.9387
197	0.8005
198	0.6188
199	0.8744
200	0.9521
201	0.9592
202	0.9050
203	0.9489
204	0.6383
205	0.8141
206	0.5444
207	0.7989
208	0.7666
209	0.9690
210	0.6487
211	0.5775
212	0.4158
213	0.7819
214	0.8573
215	0.7918
216	0.8565
217	0.6446
218	0.3502
219	0.1435
220	0.6664
221	0.6136
222	0.8158
223	0.8557
224	0.6590
225	0.6830
226	0.5298
227	0.8297
228	0.8389
229	0.7563
230	0.8361
231	0.9023
232	0.7195
233	0.9528
234	0.6265
235	0.6153
236	0.5432
237	0.7727
238	0.7562
239	0.8150
240	0.3383
241	0.9113
242	0.8570
243	0.8909
244	0.9033
245	0.1288
246	0.8473
247	0.9067
248	0.8197
249	0.6587
250	0.7676
251	0.3770
252	0.8336
253	0.5103
254	0.8760
255	0.7989
256	0.2312
257	0.3721
258	0.5697
259	0.5882
260	0.8392
261	0.7708
262	0.6959
263	0.8901
264	0.6538
265	0.8056
266	0.7278
267	0.8700
268	0.5048
269	0.3445
270	0.8201
271	0.5150
272	0.7834
273	0.7639
274	0.8565
275	0.8934
276	0.4205
277	0.2546
278	0.6435
279	0.7438
280	0.7530
281	0.7940
282	0.6813
283	0.8116
284	0.7558
285	0.7927
286	0.9628
287	0.9249
288	0.7130
289	0.8229
290	0.6908
291	0.8023
292	0.8375
293	0.9808
294	0.7785
295	0.8240
296	0.8630
297	0.9453
298	0.8313
299	0.8806
300	0.3476
301	0.9234
302	0.8038
303	0.7820
304	0.5915
306	0.9031
307	0.7726
308	0.8134
