value	count
-107	1
-106	3
-105	12
-104	57
-103	133
-102	472
-101	730
-100	32675
-99	43167
-98	74534
-97	88891
-96	115323
-95	132678
-94	147075
-93	134404
-92	181226
-91	104397
-90	179679
-89	79161
-88	134427
-87	118153
-86	150017
-85	85322
-84	111180
-83	96711
-82	104553
-81	90054
-80	95009
-79	79143
-78	80192
-77	68427
-76	69413
-75	87772
-74	71725
-73	49975
-72	58467
-71	29435
-70	51928
-69	19924
-68	34980
-67	27026
-66	31683
-65	16466
-64	20418
-63	16129
-62	17198
-61	13657
-60	13686
-59	10734
-58	10498
-57	8305
-56	7908
-55	6947
-54	7056
-53	5710
-52	6479
-51	3320
-50	5294
-49	2076
-48	3504
-47	2774
-46	3038
-45	1519
-44	1801
-43	1401
-42	1352
-41	1051
-40	1028
-39	743
-38	814
-37	700
-36	580
-35	528
-34	355
-33	238
-32	177
-31	14
-30	35
-29	36
-28	63
-27	109
-26	71
-25	16
-24	10
-23	13
-22	13
-21	56
-20	43
-19	8
-18	4
-17	1
-16	5
-15	7
-14	9
-13	6
-12	6
-11	3
-10	2
-8	1
